Timestamp_ms,CO2_ppm
20020,822
30019,774
40019,735
50019,719
60019,698
70019,681
80019,660
90019,637
100019,620
110019,607
120019,597
130019,598
140019,595
150019,588
160019,585
170019,583
180019,623
190019,755
200019,766
210019,760
220019,755
230019,762
240019,799
250019,901
260019,960
270019,987
280019,1013
290019,1035
20019,687
30019,655
40019,635
50019,619
60019,609
70019,602
80019,594
90019,583
100019,571
110019,563
120019,552
130019,542
140019,531
150019,521
160016,514
170019,507
180019,501
190019,494
200019,489
210019,484
220019,480
230019,475
240019,469
250019,463
260019,458
270019,453
280019,451
290019,447
20019,466
30019,462
40019,453
50019,449
20019,567
30019,560
20019,572
30019,561
40019,549
50019,560
20019,605
30019,602
40019,611
50019,612
60019,606
70019,596
80019,587
90019,589
100019,588
110019,582
120019,577
130019,567
140019,559
150019,549
160019,538
170019,538
180019,535
190019,530
200019,524
210019,521
220019,518
230019,520
240019,534
250019,554
260019,565
270019,562
280019,590
290019,608
300019,621
310019,614
320019,603
330019,593
340019,581
350019,572
360019,562
370019,554
380019,547
390019,539
400019,533
410019,526
420019,521
430019,515
440019,510
450019,502
460019,496
470019,494
480019,489
490019,485
500019,481
510019,477
520019,474
530019,473
540019,469
550019,465
560019,462
570019,460
580019,457
590019,457
1190019,428
1790624,410
2390019,408
2990019,400
3590019,402
4190019,394
4790624,389
5390019,401
5990019,399
6590019,403
7190019,388
7790019,390
8390019,409
8990019,412
9590019,429
10190019,415
10790019,422
11990019,425
12590019,436
13190019,445
13790019,443
14390019,436
14990019,440
15590019,444
16190019,453
16790019,446
17390019,447
17990019,445
18590019,436
19190019,438
19790019,434
20390019,434
20990624,440
21590019,440
22190019,435
22790019,436
23390019,435
23990019,427
24590019,429
25190019,431
25790019,429
26390019,438
26990019,450
27590624,460
28190019,459
28790019,481
29390019,728
29990019,646
30590624,658
31190019,701
31790019,564
32390019,554
32990019,707
33590019,650
34190019,602
34790019,612
35390019,641
35990019,643
RTC_ERR,20028,676,0.00
RTC_ERR,30029,665,0.00
RTC_ERR,40029,661,0.00
RTC_ERR,50029,663,0.00
RTC_ERR,60029,666,0.00
RTC_ERR,70029,665,0.00
RTC_ERR,80029,665,0.00
RTC_ERR,90029,665,0.00
RTC_ERR,100029,664,0.00
RTC_ERR,110029,665,0.00
RTC_ERR,120029,666,0.00
RTC_ERR,130029,665,0.00
RTC_ERR,140029,665,0.00
RTC_ERR,150029,666,0.00
RTC_ERR,160029,666,0.00
RTC_ERR,170029,667,0.00
RTC_ERR,180029,666,0.00
RTC_ERR,190029,665,0.00
RTC_ERR,200029,664,0.00
RTC_ERR,210029,663,0.00
RTC_ERR,220029,662,0.00
RTC_ERR,230029,662,0.00
RTC_ERR,240029,662,0.00
RTC_ERR,250029,662,0.00
RTC_ERR,260029,661,0.00
RTC_ERR,270029,661,0.00
RTC_ERR,280029,662,0.00
RTC_ERR,290029,661,0.00
RTC_ERR,300029,662,0.00
RTC_ERR,310029,661,0.00
RTC_ERR,320029,659,0.00
RTC_ERR,330029,661,0.00
RTC_ERR,340029,663,0.00
RTC_ERR,350029,664,0.00
RTC_ERR,360029,665,0.00
RTC_ERR,370029,667,0.00
RTC_ERR,380029,666,0.00
RTC_ERR,390029,667,0.00
RTC_ERR,400029,666,0.00
RTC_ERR,410029,666,0.00
RTC_ERR,420029,667,0.00
RTC_ERR,430029,666,0.00
RTC_ERR,440029,666,0.00
RTC_ERR,450029,667,0.00
RTC_ERR,460029,666,0.00
RTC_ERR,470029,666,0.00
RTC_ERR,480029,665,0.00
RTC_ERR,490029,666,0.00
RTC_ERR,500029,668,0.00
RTC_ERR,510029,669,0.00
RTC_ERR,520029,670,0.00
RTC_ERR,530029,672,0.00
RTC_ERR,540029,673,0.00
RTC_ERR,550029,674,0.00
RTC_ERR,560029,674,0.00
RTC_ERR,570029,674,0.00
RTC_ERR,580029,674,0.00
RTC_ERR,590029,674,0.00
RTC_ERR,1190029,679,0.00
RTC_ERR,1790029,623,0.00
RTC_ERR,2390029,598,0.00
RTC_ERR,2990029,595,0.00
